houseid,mileage,census_d,census_r,drvrcnt,hhloc,hhsize,hh_0to4,hh_race,msasize,numadult,popdnsty,ref_age,ref_educ,ref_sex,wrkrcnt,hh_5to21,income,ntrip,pur_recr,pur_shop,pur_work,auttrcnt,pur_hbot,pur_nhb,no_trans,urban
10875,100,9,4,2,2,4,2,1,5,2,3,32,3,1,1,0,100000,10,1,0,2,2,3,4,0,0
10880,20,9,4,2,2,2,0,1,5,2,10,70,2,0,0,0,37500,6,2,4,0,2,0,0,0,1
10884,26,9,4,2,2,2,0,1,5,2,6,61,1,1,0,0,37500,10,0,6,0,2,4,0,0,1
10885,102,9,4,2,2,2,0,1,5,2,6,30,2,0,2,0,57500,11,0,0,2,2,4,5,0,1
10887,0,9,4,1,2,4,0,3,5,4,8,33,2,0,1,0,39593,0,0,0,0,3,0,0,0,1
10892,90,9,4,1,1,3,0,1,5,3,12,22,2,0,0,0,39593,3,0,0,0,1,2,1,0,1
10898,19,9,4,2,2,9,0,1,5,7,10,22,1,1,7,2,27500,12,1,0,1,1,5,5,0,1
10901,2,9,4,2,2,4,0,3,5,2,6,33,2,0,1,2,52500,2,0,0,0,3,2,0,0,1
10924,26,9,4,2,2,3,0,1,5,3,4,18,1,0,0,0,39593,4,0,2,0,3,2,0,1,1
10959,0,9,4,0,1,1,0,3,5,1,12,88,1,0,0,0,39593,0,0,0,0,0,0,0,0,1
10971,16,9,4,2,2,2,0,1,5,2,8,32,2,1,2,0,57500,2,0,0,2,2,0,0,0,1
10972,10,9,4,1,2,1,0,1,5,1,6,68,2,0,0,0,7500,2,0,0,0,1,2,0,0,1
10973,85,9,4,1,2,2,0,1,5,2,9,26,2,1,1,0,47500,7,2,1,1,2,0,3,1,1
10975,262,9,4,4,2,6,0,1,5,6,9,50,1,1,3,0,39593,32,2,0,4,4,15,11,0,1
10982,110,9,4,1,2,1,0,1,5,1,6,34,2,0,1,0,47500,1,0,1,0,1,0,0,1,1
